mal_id,title,large_image_url,chapters,score,published_from,year,genre1,genre2,genre3
"430","Suzuka","https://cdn.myanimelist.net/images/manga/2/184775l.jpg","171","7.85","2004-02-18","2004","Comedy","Drama","Romance"
"431","Densha Otoko: Bijo to Junjou Otaku Seinen no Net-Hatsu Love Story","https://cdn.myanimelist.net/images/manga/3/167594l.jpg","5","7.46","2005-06-13","2005","Romance","",""
"432","Y十M: Yagyuu Ninpouchou","https://cdn.myanimelist.net/images/manga/3/157496l.jpg","100","7.22","2005-11-01","2005","Action","",""
"433","Lights Out","https://cdn.myanimelist.net/images/manga/1/4999l.jpg","","","1992-01-01","1992","Action","Comedy",""
"434","Liling-Po","https://cdn.myanimelist.net/images/manga/2/11011l.jpg","51","6.53","1996-01-01","1996","Adventure","Boys Love",""
"435","Love or Money","https://cdn.myanimelist.net/images/manga/2/12894l.jpg","","","2004-01-01","2004","","",""
"436","Uzumaki","https://cdn.myanimelist.net/images/manga/3/185972l.jpg","19","8.16","1998-01-12","1998","Drama","Horror","Supernatural"
"437","Dream Gold: Knights in the Dark City","https://cdn.myanimelist.net/images/manga/2/121189l.jpg","30","","2002-11-30","2002","Action","Fantasy","Mystery"
"438","Lupin III","https://cdn.myanimelist.net/images/manga/4/261098l.jpg","109","7.31","1967-07-07","1967","Action","Adventure","Comedy"
"439","Magical x Miracle","https://cdn.myanimelist.net/images/manga/3/172711l.jpg","46","7.71","2002-03-28","2002","Adventure","Fantasy","Romance"
"440","Mahoutsukai ni Taisetsu na Koto","https://cdn.myanimelist.net/images/manga/1/175873l.jpg","9","7.02","2002-05-09","2002","Drama","Fantasy",""
"441","Mai-HiME","https://cdn.myanimelist.net/images/manga/2/178058l.jpg","44","6.83","2004-11-11","2004","Action","Drama","Sci-Fi"
"442","Tekkon Kinkreet","https://cdn.myanimelist.net/images/manga/2/151420l.jpg","33","8.02","1993-01-01","1993","Action","",""
"443","Mars","https://cdn.myanimelist.net/images/manga/1/191262l.jpg","59","8.31","1996-01-13","1996","Drama","Romance",""
"444","Bad Company","https://cdn.myanimelist.net/images/manga/3/18566l.jpg","10","7.47","1996-06-12","1996","Action","",""
"445","Shonan Junai Gumi!","https://cdn.myanimelist.net/images/manga/2/216051l.jpg","267","8.23","1990-09-26","1990","Action","Comedy","Drama"
"446","Aa! Megami-sama!","https://cdn.myanimelist.net/images/manga/1/283558l.jpg","308","7.58","1988-08-25","1988","Award Winning","Comedy","Fantasy"
"447","Oretama","https://cdn.myanimelist.net/images/manga/2/53187l.jpg","41","7.3","2006-11-03","2006","Comedy","Romance","Ecchi"
"448","Tenshi Kinryouku","https://cdn.myanimelist.net/images/manga/1/262086l.jpg","120","7.89","1994-07-05","1994","Fantasy","Romance",""
"449","Miracle☆Girls","https://cdn.myanimelist.net/images/manga/1/161113l.jpg","39","6.92","1990-10-03","1990","Fantasy","Romance",""
"450","Missile Happy!","https://cdn.myanimelist.net/images/manga/1/270466l.jpg","20","7.34","2000-01-01","2000","Romance","",""
"451","Missing: Kamikakushi no Monogatari","https://cdn.myanimelist.net/images/manga/2/4367l.jpg","12","","2003-01-01","2003","Drama","Fantasy","Horror"
"452","Fushigi no Kuni no Miyuki-chan","https://cdn.myanimelist.net/images/manga/2/161931l.jpg","7","6","1993-03-10","1993","Comedy","Fantasy","Ecchi"
